task,n,accuracy_direct,accuracy_rubric,accuracy_delta,delta_ci_low,delta_ci_high,direct_only_correct,rubric_only_correct,discordant,mcnemar_exact_p,mcnemar_bh_p
KUAKE-QIC,440,0.45,0.23636363636363636,-0.21363636363636365,-0.27045454545454545,-0.15681818181818183,136,42,178,9.077867422545717e-13,2.723360226763715e-12
KUAKE-QQR,400,0.19,0.15,-0.04000000000000001,-0.0825625,0.005,51,35,86,0.10522535125694396,0.15783802688541593
KUAKE-QTR,400,0.2325,0.265,0.0325,-0.0225,0.0925,61,74,135,0.30168250274562924,0.30168250274562924
