task,strategy,n,accuracy,macro_f1,balanced_accuracy,ece_10,brier_multiclass,mean_confidence,mean_margin,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high
KUAKE-QIC,direct,440,0.45,0.4145573856392543,0.4500000000000001,0.2448509950562921,0.7740658031905099,0.6917692228706331,0.5122095065953004,0.40454545454545454,0.49318181818181817,0.3720008961986086,0.4536628924778531
KUAKE-QIC,rubric,440,0.23636363636363636,0.22384419791758522,0.23636363636363636,0.5314288555753242,1.2117005331433164,0.7677924919389607,0.6070767750590532,0.19545454545454546,0.2772727272727273,0.18421506696004644,0.2587857894934411
KUAKE-QQR,direct,400,0.19,0.16186958587082415,0.23475913924420255,0.2216468880780616,0.8537937934640951,0.4116468880780616,0.12151304429042999,0.155,0.2325,0.12911367010802213,0.19966752271163196
KUAKE-QQR,rubric,400,0.15,0.09079267511845307,0.23505114083398898,0.3201536328905834,0.9128123707578162,0.4701536328905834,0.2267846469470463,0.1175,0.185,0.06833115412351125,0.11658983142538712
KUAKE-QTR,direct,400,0.2325,0.19198903114468227,0.2571830606697779,0.46044975821039524,1.114383251391484,0.6904783806653413,0.49793815651542017,0.19,0.275,0.15904706144655115,0.22573232161476334
KUAKE-QTR,rubric,400,0.265,0.17872277239031858,0.31963818657367044,0.4836987348298072,1.139006125844255,0.7486987348298072,0.5544066441502987,0.2249375,0.3075,0.1520192990711494,0.2047135038356653
Overall,direct,1240,0.29596774193548386,0.3145034584259907,0.3640930947187327,0.30502303674229014,0.9095643317306902,0.6009907786777738,0.38157472840667117,0.2709677419354839,0.3193548387096774,0.28690869804855257,0.33853291691686693
Overall,rubric,1240,0.21774193548387097,0.1863341035330802,0.25361880577003354,0.44787874479137,1.0918351880837804,0.6656206802752411,0.46741153021364645,0.19516129032258064,0.2403225806451613,0.16165526815354342,0.20759351763155112
